PWY-7039	NA	NA	NA	DIACYLGLYKIN-RXN	DIACYLGLYKIN-RXN	DIACYLGLYKIN-RXN
GLYCOLYSIS	NA	NA	NA	2PGADEHYDRAT-RXN;PEPDEPHOS-RXN;PGLUCISOM-RXN;F16ALDOLASE-RXN;GAPOXNPHOSPHN-RXN;PHOSGLYPHOS-RXN;TRIOSEPISOMERIZATION-RXN;RXN-15513	6PFRUCTPHOS-RXN;2PGADEHYDRAT-RXN;PEPDEPHOS-RXN;PGLUCISOM-RXN;F16ALDOLASE-RXN;F16BDEPHOS-RXN;GAPOXNPHOSPHN-RXN;PHOSGLYPHOS-RXN;TRIOSEPISOMERIZATION-RXN;RXN-15513	6PFRUCTPHOS-RXN;2PGADEHYDRAT-RXN;PEPDEPHOS-RXN;PGLUCISOM-RXN;F16BDEPHOS-RXN;TRIOSEPISOMERIZATION-RXN;RXN-15513
PWY-7400	NA	NA	NA	CARBPSYN-RXN;ARGSUCCINLYA-RXN;ARGSUCCINSYN-RXN;ORNCARBAMTRANSFER-RXN	CARBPSYN-RXN;ARGSUCCINLYA-RXN;ARGSUCCINSYN-RXN;ORNCARBAMTRANSFER-RXN	CARBPSYN-RXN;ARGSUCCINLYA-RXN;ARGSUCCINSYN-RXN;ORNCARBAMTRANSFER-RXN
PHESYN	NA	NA	NA	PREPHENATEDEHYDRAT-RXN;RXN-10814	PREPHENATEDEHYDRAT-RXN;RXN-10814	PREPHENATEDEHYDRAT-RXN;RXN-10814
ETOH-ACETYLCOA-ANA-PWY	NA	NA	NA	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN
PWY-5499	NA			3.5.1.29-RXN		
PWY-7312	NA	NA	NA	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN
PWY-6317	NA	NA	NA	PHOSPHOGLUCMUT-RXN;UDPGLUCEPIM-RXN;GALACTURIDYLYLTRANS-RXN;GALACTOKIN-RXN;ALDOSE1EPIM-RXN	GALACTOKIN-RXN;UDPGLUCEPIM-RXN;GALACTURIDYLYLTRANS-RXN;ALDOSE1EPIM-RXN	GALACTOKIN-RXN;PHOSPHOGLUCMUT-RXN;UDPGLUCEPIM-RXN;GALACTURIDYLYLTRANS-RXN
PWY-7790	NA	NA	NA	OROPRIBTRANS-RXN;ASPCARBTRANS-RXN;DIHYDROOROT-RXN;OROTPDECARB-RXN;CARBPSYN-RXN	RXN-9929;OROPRIBTRANS-RXN;ASPCARBTRANS-RXN;DIHYDROOROT-RXN;OROTPDECARB-RXN;CARBPSYN-RXN	CARBPSYN-RXN;RXN-9929;ASPCARBTRANS-RXN
PWY-7385	NA	NA	NA	PGLUCISOM-RXN;F16ALDOLASE-RXN;RXN-14965;GLUCOKIN-RXN	PGLUCISOM-RXN;F16ALDOLASE-RXN;6PFRUCTPHOS-RXN;GLUCOKIN-RXN	PGLUCISOM-RXN;6PFRUCTPHOS-RXN;GLUCOKIN-RXN
GLUCONEO-PWY	NA	NA	NA	2PGADEHYDRAT-RXN;PGLUCISOM-RXN;F16ALDOLASE-RXN;GAPOXNPHOSPHN-RXN;PHOSGLYPHOS-RXN;TRIOSEPISOMERIZATION-RXN	2PGADEHYDRAT-RXN;PGLUCISOM-RXN;F16ALDOLASE-RXN;F16BDEPHOS-RXN;GAPOXNPHOSPHN-RXN;PHOSGLYPHOS-RXN;TRIOSEPISOMERIZATION-RXN	F16BDEPHOS-RXN;PGLUCISOM-RXN;TRIOSEPISOMERIZATION-RXN;2PGADEHYDRAT-RXN
PWY-6620	NA	NA	NA	GUANPRIBOSYLTRAN-RXN	GUANPRIBOSYLTRAN-RXN;RXN0-5199	GUANPRIBOSYLTRAN-RXN;RXN0-5199
PWY-6539	NA	NA	NA	RXN-8899	RXN-8899	RXN-8899
PWY-4984	NA	NA	NA	ORNCARBAMTRANSFER-RXN;ARGSUCCINLYA-RXN;ARGSUCCINSYN-RXN	ORNCARBAMTRANSFER-RXN;ARGSUCCINLYA-RXN;ARGSUCCINSYN-RXN	ORNCARBAMTRANSFER-RXN;ARGSUCCINLYA-RXN;ARGSUCCINSYN-RXN
P21-PWY	NA	NA	NA	2TRANSKETO-RXN;RIBULP3EPIM-RXN;1TRANSKETO-RXN	2TRANSKETO-RXN;RIBULP3EPIM-RXN;1TRANSKETO-RXN	2TRANSKETO-RXN;RIBULP3EPIM-RXN;1TRANSKETO-RXN
PWY-6886	NA	NA	NA	CALVIN-PWY;2PGADEHYDRAT-RXN;PEPDEPHOS-RXN;PWY-101;PHOSGLYPHOS-RXN	CALVIN-PWY;2PGADEHYDRAT-RXN;PEPDEPHOS-RXN;PWY-6883;PWY-101;PHOSGLYPHOS-RXN	CALVIN-PWY;PWY-101;2PGADEHYDRAT-RXN;PEPDEPHOS-RXN
PWY-6910	NA	NA		PYRIMSYN3-RXN;OHMETPYRKIN-RXN	PYRIMSYN3-RXN;OHMETPYRKIN-RXN	
PWY-8017	NA	NA	NA	TRYPTOPHAN-AMINOTRANSFERASE-RXN;TRPKYNCAT-PWY	TRYPTOPHAN-AMINOTRANSFERASE-RXN;TRPKYNCAT-PWY	TRYPTOPHAN-AMINOTRANSFERASE-RXN;TRPKYNCAT-PWY
PWY-7409	NA	NA		RXN-15035	RXN-14160	
PWY3O-4108	NA	NA	NA	TYROSINE-AMINOTRANSFERASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN	TYROSINE-AMINOTRANSFERASE-RXN
PWY-8314	NA	NA	NA	RXN-22587	RXN-22587	RXN-22587
ASPARTATE-DEG1-PWY	NA	NA	NA	ASPAMINOTRANS-RXN	ASPAMINOTRANS-RXN	ASPAMINOTRANS-RXN
PWY-3341	NA	NA	NA	SPONTPRO-RXN;PYRROLINECARBREDUCT-RXN	SPONTPRO-RXN;PYRROLINECARBREDUCT-RXN	SPONTPRO-RXN;PYRROLINECARBREDUCT-RXN
PWY-7342	NA			QUINOLINATE-SYNTHA-RXN;L-ASPARTATE-OXID-RXN;QUINOPRIBOTRANS-RXN;PWY-5316		
TRPIAACAT-PWY	NA	NA	NA	TRYPTOPHAN-AMINOTRANSFERASE-RXN	4.1.1.74-RXN;TRYPTOPHAN-AMINOTRANSFERASE-RXN	TRYPTOPHAN-AMINOTRANSFERASE-RXN
METH-ACETATE-PWY	NA	NA	NA	ACETATEKIN-RXN;PHOSACETYLTRANS-RXN	ACETATEKIN-RXN;PHOSACETYLTRANS-RXN	ACETATEKIN-RXN;PHOSACETYLTRANS-RXN
PWY-6605	NA	NA	NA	ADENPRIBOSYLTRAN-RXN	ADENPRIBOSYLTRAN-RXN	ADENPRIBOSYLTRAN-RXN
PWY-2941	NA	NA	NA	DIAMINOPIMDECARB-RXN;DIHYDRODIPICSYN-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;DIAMINOPIMEPIM-RXN;ASPARTATEKIN-RXN;RXN-14014	2.3.1.89-RXN;DIAMINOPIMDECARB-RXN;DIHYDRODIPICSYN-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN;ASPARTATEKIN-RXN;RXN-14014	2.3.1.89-RXN;DIAMINOPIMDECARB-RXN;DIHYDRODIPICSYN-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN;ASPARTATEKIN-RXN;RXN-14014
PWY-6012-1	NA	NA	NA	HOLO-ACP-SYNTH-RXN	HOLO-ACP-SYNTH-RXN	HOLO-ACP-SYNTH-RXN
TRYPDEG-PWY	NA	NA	NA	RXN-15127;RXN-15124	RXN-15127;RXN-15124	RXN-15127;RXN-15124
PWY-6121	NA	NA	NA	AIRS-RXN;GLYRIBONUCSYN-RXN;FGAMSYN-RXN;PRPPAMIDOTRANS-RXN	PRPPAMIDOTRANS-RXN;AIRS-RXN;GART-RXN;FGAMSYN-RXN;GLYRIBONUCSYN-RXN	PRPPAMIDOTRANS-RXN;AIRS-RXN;GART-RXN;FGAMSYN-RXN;GLYRIBONUCSYN-RXN
PWY-7124	NA	NA	NA	2PGADEHYDRAT-RXN;PEPCARBOX-RXN;ISOCITDEH-RXN;CITSYN-RXN;PHOTOALL-PWY	PHOTOALL-PWY;ISOCITDEH-RXN;2PGADEHYDRAT-RXN	2PGADEHYDRAT-RXN;PEPCARBOX-RXN;ISOCITDEH-RXN;CITSYN-RXN;PHOTOALL-PWY
PWY-8061	NA	NA	NA	RXN-11410;RXN-11409	RXN-11410;RXN-11409	RXN-11410;RXN-11409
TCA	NA	NA	NA	CITSYN-RXN;RXN-14971;ISOCITDEH-RXN;SUCCCOASYN-RXN	RXN-14971;ISOCITDEH-RXN	CITSYN-RXN;ISOCITDEH-RXN
PWYQT-4429	NA		NA	PEPCARBOX-RXN;RXN0-5224		PEPCARBOX-RXN;RXN0-5224
OANTIGEN-PWY	NA	NA	NA	DTDPRHAMSYN-PWY;GALPMUT-RXN;UDPNAGSYN-PWY	DTDPRHAMSYN-PWY;GALPMUT-RXN;UDPNAGSYN-PWY	DTDPRHAMSYN-PWY;GALPMUT-RXN;UDPNAGSYN-PWY
PWY-6608	NA	NA	NA	RXN-7609	RXN0-5199	RXN0-5199;RXN-7609
NONOXIPENT-PWY	NA	NA	NA	1TRANSKETO-RXN;TRANSALDOL-RXN;RIBULP3EPIM-RXN;RIB5PISOM-RXN;2TRANSKETO-RXN	2TRANSKETO-RXN;RIBULP3EPIM-RXN;1TRANSKETO-RXN;RIB5PISOM-RXN	2TRANSKETO-RXN;RIBULP3EPIM-RXN;1TRANSKETO-RXN;RIB5PISOM-RXN
PWY-6700	NA	NA	NA	RXN0-1321	RXN0-1342;RXN0-1321	RXN0-4022;RXN0-1342;RXN-12104
TRIGLSYN-PWY	NA	NA	NA	RXN-1623	RXN-1381;RXN-1623	RXN-1381
PROUT-PWY	NA	NA	NA	SPONTPRO-RXN	SPONTPRO-RXN	SPONTPRO-RXN
PROSYN-PWY	NA	NA	NA	SPONTPRO-RXN;PYRROLINECARBREDUCT-RXN;GLUTKIN-RXN;GLUTSEMIALDEHYDROG-RXN	SPONTPRO-RXN;PYRROLINECARBREDUCT-RXN;GLUTKIN-RXN;GLUTSEMIALDEHYDROG-RXN	SPONTPRO-RXN;PYRROLINECARBREDUCT-RXN;GLUTKIN-RXN;GLUTSEMIALDEHYDROG-RXN
PWY-8296	NA	NA	NA	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN
PWY-7761	NA	NA	NA	NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;NADPYROPHOSPHAT-RXN	NAD-SYNTH-NH3-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN;NADPYROPHOSPHAT-RXN	NAD-SYNTH-NH3-RXN;NICONUCADENYLYLTRAN-RXN;NAD-SYNTH-GLN-RXN
GLUTAMINEFUM-PWY	NA	NA		GLUTAMATESYN-RXN	GLUTAMATESYN-RXN	
PWY185E-1	NA	NA	NA	RXN185E-16	RXN185E-16	RXN185E-16
PWY-5101	NA	NA	NA	DIHYDROXYMETVALDEHYDRAT-RXN;ACETOOHBUTSYN-RXN;BRANCHED-CHAINAMINOTRANSFERILEU-RXN	DIHYDROXYMETVALDEHYDRAT-RXN;ACETOOHBUTSYN-RXN;BRANCHED-CHAINAMINOTRANSFERILEU-RXN	DIHYDROXYMETVALDEHYDRAT-RXN;ACETOOHBUTSYN-RXN;BRANCHED-CHAINAMINOTRANSFERILEU-RXN
GLUTDEG-PWY	NA	NA	NA	ASPARTASE-RXN;ASPAMINOTRANS-RXN	ASPAMINOTRANS-RXN	ASPAMINOTRANS-RXN
PWY-5078	NA	NA	NA	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
PWY-5789	NA	NA	NA	RXN0-5224;PROPIONYL-COA-CARBOXY-RXN	BIOTIN-CARBOXYL-RXN;RXN0-5055;ACETYL-COA-ACETYLTRANSFER-RXN	BIOTIN-CARBOXYL-RXN;RXN0-5224;RXN0-5055
PWY66-429	NA	NA	NA	MALONYL-COA-ACP-TRANSACYL-RXN	MALONYL-COA-ACP-TRANSACYL-RXN;3-OXOACYL-ACP-SYNTH-BASE-RXN;ACETYL-COA-CARBOXYLTRANSFER-RXN	MALONYL-COA-ACP-TRANSACYL-RXN;ACETYL-COA-CARBOXYLTRANSFER-RXN
PWY-7184	NA	NA	NA	THYMIDYLATESYN-RXN;CDPREDUCT-RXN;DUTP-PYROP-RXN;DTMPKI-RXN;UDPREDUCT-RXN	THYMIDYLATESYN-RXN;CDPREDUCT-RXN;DUTP-PYROP-RXN;DTMPKI-RXN;RXN-12195;UDPREDUCT-RXN	THYMIDYLATESYN-RXN;CDPREDUCT-RXN;DUTP-PYROP-RXN;DCDPKIN-RXN;DTMPKI-RXN;DTDPKIN-RXN;DUDPKIN-RXN;UDPREDUCT-RXN
PWY-8136	NA	NA	NA	RXN-20456;RXN-20457	RXN-20456;RXN-20457;RXN-13141	RXN-20456;RXN-20457;RXN-13141
PWY-5046	NA	NA	NA	RXN-7719	RXN-7719	RXN-7719
PWY-4983	NA	NA	NA	ARGSUCCINLYA-RXN;ARGSUCCINSYN-RXN	ARGSUCCINLYA-RXN;ARGSUCCINSYN-RXN	ARGSUCCINLYA-RXN;ARGSUCCINSYN-RXN
PWY-6936	NA	NA	NA	RXN-12729;RXN-12730	RXN-12729;RXN-12726;RXN-12730;SERINE-O-ACETTRAN-RXN	RXN-12729;RXN-12726;RXN-12730;SERINE-O-ACETTRAN-RXN
PWY-6807	NA	NA	NA	RXN-12399;RXN-12398;RXN-12400	RXN-12399;RXN-12398;RXN-12400	RXN-12399;RXN-12398;RXN-12400
PWY-7328	NA	NA	NA	UDPGLUCEPIM-RXN;GALPMUT-RXN;PWY-7344;PWY-7343	UDPGLUCEPIM-RXN;GALPMUT-RXN;PWY-7344;PWY-7343	UDPGLUCEPIM-RXN;GALPMUT-RXN;PWY-7344;PWY-7343
QUINATEDEG-PWY	NA	NA	NA	3-DEHYDROQUINATE-DEHYDRATASE-RXN	3-DEHYDROQUINATE-DEHYDRATASE-RXN	3-DEHYDROQUINATE-DEHYDRATASE-RXN
PWY-7657	NA	NA	NA	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN
PWY-5743	NA	NA	NA	RXN0-5224;PROPIONYL-COA-CARBOXY-RXN	BIOTIN-CARBOXYL-RXN;RXN0-5055	BIOTIN-CARBOXYL-RXN;RXN0-5224;RXN0-5055
COA-PWY	NA	NA	NA	PANTEPADENYLYLTRAN-RXN;DEPHOSPHOCOAKIN-RXN	PANTEPADENYLYLTRAN-RXN;DEPHOSPHOCOAKIN-RXN	PANTEPADENYLYLTRAN-RXN;DEPHOSPHOCOAKIN-RXN
PWY-6470	NA	NA	NA	PWY-6386;RXN-22556;RXN-11346;RXN-11348;RXN-11347	PWY-6386;RXN-11346;RXN-11347;RXN-11344	PWY-6386;RXN-11346;RXN-11347
1CMET2-PWY	NA	NA	NA	GCVMULTI-RXN;DIHYDROFOLATEREDUCT-RXN;5-FORMYL-THF-CYCLO-LIGASE-RXN;THYMIDYLATESYN-RXN	DIHYDROFOLATEREDUCT-RXN;5-FORMYL-THF-CYCLO-LIGASE-RXN;GLYOHMETRANS-RXN;THYMIDYLATESYN-RXN	DIHYDROFOLATEREDUCT-RXN;5-FORMYL-THF-CYCLO-LIGASE-RXN;GLYOHMETRANS-RXN;THYMIDYLATESYN-RXN
PWY-5663	NA	NA	NA	GTP-CYCLOHYDRO-I-RXN	GTP-CYCLOHYDRO-I-RXN	GTP-CYCLOHYDRO-I-RXN
SALVPURINE2-PWY	NA	NA	NA	XANPRIBOSYLTRAN-RXN	XANTHOSINEPHOSPHORY-RXN;XANPRIBOSYLTRAN-RXN	XANTHOSINEPHOSPHORY-RXN;XANPRIBOSYLTRAN-RXN
PWY-8004	NA	NA	NA	2PGADEHYDRAT-RXN;PEPDEPHOS-RXN;6PGLUCONOLACT-RXN;GAPOXNPHOSPHN-RXN;PHOSGLYPHOS-RXN;GLU6PDEHYDROG-RXN;RXN-15513	2PGADEHYDRAT-RXN;PEPDEPHOS-RXN;ENTNER-DOUDOROFF-PWY;6PGLUCONOLACT-RXN;GAPOXNPHOSPHN-RXN;PHOSGLYPHOS-RXN;GLU6PDEHYDROG-RXN;RXN-15513	RXN-15513;2PGADEHYDRAT-RXN;PEPDEPHOS-RXN
PWY-6389	NA	NA	NA	ACETOLACTSYN-RXN;RXN-6081	ACETOLACTSYN-RXN;RXN-11032;RXN-6081	ACETOLACTSYN-RXN;RXN-11032;RXN-6081
PWY-6829	NA	NA	NA	RXN-12466;RXN-14517	RXN-14517	RXN-14517
PWY0-1315	NA			LACTALDREDUCT-RXN		
PWY-7440	NA	NA	NA	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN
PWY-7347	NA	NA	NA	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN
PWY-6151	NA	NA	NA	S-ADENMETSYN-RXN;HOMOCYSMET-RXN;RIBOSYLHOMOCYSTEINASE-RXN;ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	HOMOCYSMET-RXN;RIBOSYLHOMOCYSTEINASE-RXN;ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	S-ADENMETSYN-RXN;HOMOCYSMET-RXN;RIBOSYLHOMOCYSTEINASE-RXN;ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN
PWY-7819	NA	NA	NA	TRANS-RXN-321	UDPGLCNACEPIM-RXN;GLCNACPTRANS-RXN;TRANS-RXN-321	GLCNACPTRANS-RXN;TRANS-RXN-321
PWY-7344	NA	NA	NA	UDPGLUCEPIM-RXN	UDPGLUCEPIM-RXN	UDPGLUCEPIM-RXN
METHIONINE-DEG1-PWY	NA		NA	S-ADENMETSYN-RXN		S-ADENMETSYN-RXN;ADENOSYLHOMOCYSTEINASE-RXN
PWY-7818	NA	NA	NA	2.7.7.40-RXN;2.4.1.157-RXN;RIBITOL-5-PHOSPHATE-2-DEHYDROGENASE-RXN	2.7.7.40-RXN;2.4.1.157-RXN;RXN-18014;CHOLINE-KINASE-RXN	RXN-18014;2.4.1.157-RXN
PWY-2781	NA	NA	NA	RXN0-6274	RXN0-6274	RXN0-6274
PWY-7815	NA	NA	NA	2.7.7.40-RXN;RXN-18029;RIBITOL-5-PHOSPHATE-2-DEHYDROGENASE-RXN	RXN-18014;UDPGLCNACEPIM-RXN;RXN-18029;2.7.7.40-RXN;GLCNACPTRANS-RXN	RXN-18014;RXN-18029;GLCNACPTRANS-RXN
PWY-5707	NA	NA	NA	RXN-8899	RXN-8899;RXN-16190	RXN-8899;RXN-16190
PWY0-1353	NA	NA		SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN;RXN0-5266	
PWY-5316	NA			QUINOLINATE-SYNTHA-RXN;L-ASPARTATE-OXID-RXN;QUINOPRIBOTRANS-RXN		
PWY-6692	NA	NA	NA	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN
PWY-6981	NA	NA	NA	PHOSPHOGLUCMUT-RXN;PGLUCISOM-RXN;PWY0-1182;UDPNACETYLGALSYN-PWY	UDPNACETYLGALSYN-PWY;PGLUCISOM-RXN;PWY0-1182	PHOSPHOGLUCMUT-RXN;PGLUCISOM-RXN;PWY0-1182;UDPNACETYLGALSYN-PWY
PWY-8164	NA	NA	NA	RXN-21566	RXN-21566	RXN-21566
PWY-6973	NA	NA	NA	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN
PWY66-425	NA			2-AMINOADIPATE-AMINOTRANSFERASE-RXN		
PWY-6969	NA	NA	NA	CITSYN-RXN;RXN-14971;ISOCITDEH-RXN;SUCCCOASYN-RXN	RXN-14971;ISOCITDEH-RXN	CITSYN-RXN;ISOCITDEH-RXN
PWY-7219	NA	NA	NA	ADENYLOSUCCINATE-SYNTHASE-RXN;AMPSYN-RXN;ADENYL-KIN-RXN	ADENYLOSUCCINATE-SYNTHASE-RXN;AMPSYN-RXN;ADENYL-KIN-RXN	ADENYLOSUCCINATE-SYNTHASE-RXN;AMPSYN-RXN;ADENYL-KIN-RXN
PWY-7316	NA	NA	NA	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN
