metabolite	B_breve_689b_C_rxn_consume	Lco_lactis_1064-C11_S_rxn_consume	St_thermophilus_CBC-S77_S_rxn_consume	B_breve_689b_C_rxn_produce	Lco_lactis_1064-C11_S_rxn_produce	St_thermophilus_CBC-S77_S_rxn_produce
CPD-19487	RXN-18201	RXN-18201	RXN-18201			
DCTP	DCTP-DEAM-RXN;DCTP-PYROPHOSPHATASE-RXN	DCTP-PYROPHOSPHATASE-RXN	DCTP-PYROPHOSPHATASE-RXN	RXN-21264;RXN0-723	RXN-21264;RXN0-723	DCDPKIN-RXN;RXN-21264;RXN0-723
CPD-21118	RXN-19550	RXN-19550	RXN-19550			
7-AMINOMETHYL-7-DEAZAGUANINE	RXN0-1321	RXN0-1321				RXN0-4022
Charged-ASP-tRNAs				ASPARTATE--TRNA-LIGASE-RXN	ASPARTATE--TRNA-LIGASE-RXN	ASPARTATE--TRNA-LIGASE-RXN
CPD-15530	GLUCUROISOM-RXN	GLUCUROISOM-RXN		RXN-14693	RXN-14693	
Long-Chain-Fatty-Acids	RXN-7904	RXN-7904		LONG-CHAIN-ALCOHOL-DEHYDROGENASE-RXN		
SELENOHOMOCYSTEINE	RXN-12730	RXN-12730	RXN-12730	RXN-12729	RXN-12729	RXN-12729
CPD-14553	GALPMUT-RXN	GALPMUT-RXN	GALPMUT-RXN	UDPGLUCEPIM-RXN;GALACTURIDYLYLTRANS-RXN	UDPGLUCEPIM-RXN;GALACTURIDYLYLTRANS-RXN	UDPGLUCEPIM-RXN;GALACTURIDYLYLTRANS-RXN
DIHYDROXY-ACETONE-PHOSPHATE	QUINOLINATE-SYNTHA-RXN;GLYC3PDEHYDROGBIOSYN-RXN;QUINOLINATE-SYNTHE-MULTI-RXN	GLYC3PDEHYDROGBIOSYN-RXN	GLYC3PDEHYDROGBIOSYN-RXN	SEDOBISALDOL-RXN;F16ALDOLASE-RXN;RXN-8631;RXN-19916;TRIOSEPISOMERIZATION-RXN	SEDOBISALDOL-RXN;F16ALDOLASE-RXN;RXN-8631;GLYCEROL-3-PHOSPHATE-OXIDASE-RXN;RXN-19916;2.7.1.121-RXN;TRIOSEPISOMERIZATION-RXN;TAGAALDOL-RXN	TRIOSEPISOMERIZATION-RXN
DI-H-OROTATE	DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN0-6491;DIHYDROOROT-RXN;RXN0-6554;OROTATE-REDUCTASE-NADH-RXN	DIHYDROOROT-RXN;RXN-9929;OROTATE-REDUCTASE-NADH-RXN	RXN-9929;OROTATE-REDUCTASE-NADH-RXN			
CPD-316				NADPH-DEHYDROGENASE-FLAVIN-RXN	NADPH-DEHYDROGENASE-FLAVIN-RXN	
BCCP-L-lysine	BIOTINLIG-RXN	BIOTINLIG-RXN	BIOTINLIG-RXN			
CPD-12297	RXN-22558;RXN-11291					RXN-11297
CPD-21423				RXN-19806		
Unwound-RNA				RXN-11109	RXN-11109	RXN-11109
4-CYTIDINE-5-DIPHOSPHO-2-C	2.7.1.148-RXN		2.7.1.148-RXN			
