metabolite	B_breve_689b_C_rxn_consume	Lco_lactis_1064-C11_S_rxn_consume	St_thermophilus_CBC-S77_S_rxn_consume	B_breve_689b_C_rxn_produce	Lco_lactis_1064-C11_S_rxn_produce	St_thermophilus_CBC-S77_S_rxn_produce
CPD-5802	TEICHOICSYN4-RXN					
DEPHOSPHO-COA	DEPHOSPHOCOAKIN-RXN	DEPHOSPHOCOAKIN-RXN	DEPHOSPHOCOAKIN-RXN	PANTEPADENYLYLTRAN-RXN	PANTEPADENYLYLTRAN-RXN	PANTEPADENYLYLTRAN-RXN
N-acetyl-D-hexosamines	RXN-9297					
ACETALD	RXN66-3			THREONINE-ALDOLASE-RXN;RXN-9718;LTAA-RXN;ALCOHOL-DEHYDROG-RXN	2-NITROPROPANE-DIOXYGENASE-RXN;RXN0-5234;DEOXYRIBOSE-P-ALD-RXN;ALCOHOL-DEHYDROG-RXN	2-NITROPROPANE-DIOXYGENASE-RXN;RXN0-5234;RXN0-5507;ALCOHOL-DEHYDROG-RXN
CPD-15184	RXN-14267	RXN-14267	RXN-14267			
ADENINE	ADENPRIBOSYLTRAN-RXN;RXN-15139	ADENPRIBOSYLTRAN-RXN;RXN-15139	ADENPRIBOSYLTRAN-RXN;RXN-15139	RXN0-2661;METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN;RXN0-6550;ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	DEOXYADENPHOSPHOR-RXN;RXN0-1342;RXN0-6550;ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN;RXN0-2661;METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN;ADENPHOSPHOR-RXN	DEOXYADENPHOSPHOR-RXN;RXN0-1342;RXN0-6550;ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN;RXN0-2661;METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN;ADENPHOSPHOR-RXN
CPD-23334	RXN-21432	RXN-21432				
CPD-12826	RXN-22709	RXN-22709	RXN-22709			
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE	DXPREDISOM-RXN					
CPD-543	CHOLINE-SULFATASE-RXN					
tRNA-uridine55	RXN-11839	RXN-11839	RXN-11839			
Menaquinones	RXN0-6554			R601-RXN	RXN-20993;R601-RXN	
Deoxy-Ribonucleoside-Diphosphates				RIBONUCLEOSIDE-DIP-REDUCTI-RXN	RIBONUCLEOSIDE-DIP-REDUCTI-RXN	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
DEHYDROQUINATE	3-DEHYDROQUINATE-DEHYDRATASE-RXN	3-DEHYDROQUINATE-DEHYDRATASE-RXN	3-DEHYDROQUINATE-DEHYDRATASE-RXN	3-DEHYDROQUINATE-SYNTHASE-RXN	3-DEHYDROQUINATE-SYNTHASE-RXN	3-DEHYDROQUINATE-SYNTHASE-RXN
CPD-13053	RXN-21036	RXN-21036	RXN-21036	RXN-21036	RXN-21036	RXN-21036
6-Acetyl-Beta-D-Galactosides				GALACTOACETYLTRAN-RXN	GALACTOACETYLTRAN-RXN	
IMIDAZOLE-ACETOL-P				HISTAMINOTRANS-RXN;IMIDPHOSDEHYD-RXN	HISTAMINOTRANS-RXN;IMIDPHOSDEHYD-RXN	HISTAMINOTRANS-RXN;IMIDPHOSDEHYD-RXN
CPD-11984				2.4.1.129-RXN;RXN-11023		
CPD-21110				RXN-19552	RXN-19552	RXN-19552
LUTEOLIN-7-O-BETA-D-DIGLUCURONIDE				RXN-15289		
GLC-1-P	DTDPGLUCOSEPP-RXN;PHOSPHOGLUCMUT-RXN;GLUC1PADENYLTRANS-RXN;GLUCOSE-1-PHOSPHAT-RXN;RXN-18305	DTDPGLUCOSEPP-RXN;GLUC1PURIDYLTRANS-RXN;GLUC1PADENYLTRANS-RXN	DTDPGLUCOSEPP-RXN;PHOSPHOGLUCMUT-RXN;GLUC1PURIDYLTRANS-RXN	RXN-9025;GLYCOPHOSPHORYL-RXN;GALACTURIDYLYLTRANS-RXN;RXN-15605	RXN-9025;GLYCOPHOSPHORYL-RXN;GALACTURIDYLYLTRANS-RXN	RXN-9025;GLYCOPHOSPHORYL-RXN;GALACTURIDYLYLTRANS-RXN
5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE	FGAMSYN-RXN	FGAMSYN-RXN	FGAMSYN-RXN		GART-RXN	GART-RXN
DIHYDROXYPENTANEDIONE	RXN-10015;RXN-10016	RXN-10015;RXN-10016	RXN-10015;RXN-10016	RIBOSYLHOMOCYSTEINASE-RXN	RIBOSYLHOMOCYSTEINASE-RXN	RIBOSYLHOMOCYSTEINASE-RXN
Alkyl-Hydro-Peroxides	1.11.1.15-RXN;RXN-22617;R4-RXN	1.11.1.15-RXN;RXN-22617;R4-RXN	1.11.1.15-RXN			
CPD-19309	RXN-18029	RXN-18029	RXN-18029	RXN-18029	RXN-18029	RXN-18029
DUMP	THYMIDYLATESYN-RXN	THYMIDYLATESYN-RXN	THYMIDYLATESYN-RXN	DUTP-PYROP-RXN	DUTP-PYROP-RXN;DURIDKI-RXN	DUTP-PYROP-RXN;DURIDKI-RXN
CPD-18259				RXN-16938	RXN-16938	RXN-16938
D-ALANINE	DALADALALIG-RXN	RXN-18014;DALADALALIG-RXN	RXN-18014	ALARACECAT-RXN;RXN-16660;RXN-16665;RXN-16659;RXN-16649;RXN0-5401	ALARACECAT-RXN;RXN-11351;RXN-16659;RXN-16649	ALARACECAT-RXN;RXN-16659;RXN-16649
HSO3				RXN-8315	RXN-8315	RXN-8315
NADH	RXN-19806;RXN-12753;NADH-DEHYDROG-A-RXN;RXN-8641;RXN0-4401;RXN-12754;RXN1YI0-16;RXN-21415;R4-RXN	RXN-12753;RXN-9658;ENOYL-ACP-REDUCT-NADH-RXN;NADH-DEHYDROG-A-RXN;RXN0-4401;1.2.1.42-RXN;RXN-11032;RXN-17126;RXN-12446;RXN-12754;RXN1YI0-16;RXN-9659;RXN-22913;RXN-9661;RXN-9657;R4-RXN;RXN-21950;RXN-9662;RXN-9660;RXN0-5375;RXN-6702;RXN-16632;RXN-9663;RXN-21415	RXN-12753;RXN-21415;RXN-11032;NADH-DEHYDROG-A-RXN;RXN-12754;RXN-12446;RXN-22913	RXN-8629;TRANS-RXN0-277;LACTALDREDUCT-RXN;1.8.1.4-RXN;RXNQT-4171;L-LACTATE-DEHYDROGENASE-RXN;RXN-9718;RXN0-1132;RXN-13158;GLYCOLALDREDUCT-RXN;LONG-CHAIN-ALCOHOL-DEHYDROGENASE-RXN;1.1.1.53-RXN;L-IDITOL-2-DEHYDROGENASE-RXN;RXN66-3;GLYCERATE-DEHYDROGENASE-RXN;PYRNUTRANSHYDROGEN-RXN;ALCOHOL-DEHYDROG-RXN;D-XYLULOSE-REDUCTASE-RXN;RXNQT-4174;PREPHENATEDEHYDROG-RXN;RXN-8001;RXN-7644;RXN-7719;RXNQT-4165;GAPOXNPHOSPHN-RXN;RXNQT-4178;RXN-7572;IMP-DEHYDROG-RXN;RXNQT-4168;RXN-7716;GCVMULTI-RXN;RXN-14986;PGLYCDEHYDROG-RXN;OROTATE-REDUCTASE-NADH-RXN	RXN-8629;RXN0-6727;1.8.1.4-RXN;RXNQT-4171;L-LACTATE-DEHYDROGENASE-RXN;RXN0-1132;RXN-13158;RXN-16285;L-IDITOL-2-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN;RXN0-5289;GLYCERATE-DEHYDROGENASE-RXN;RXN-7657;ALCOHOL-DEHYDROG-RXN;RXNQT-4174;MANNPDEHYDROG-RXN;PREPHENATEDEHYDROG-RXN;RXN-8001;RXN-3341;RXN-7644;RXN-7719;RXNQT-4165;GAPOXNPHOSPHN-RXN;RXNQT-4178;HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN;RXN-7572;IMP-DEHYDROG-RXN;RXNQT-4168;RXN-7716;RXN-14986;PGLYCDEHYDROG-RXN;OROTATE-REDUCTASE-NADH-RXN	RXN-8629;RXN0-6727;1.8.1.4-RXN;RXNQT-4171;GLYCDEH-RXN;L-LACTATE-DEHYDROGENASE-RXN;RXN0-1132;RXN-13158;GLYCERATE-DEHYDROGENASE-RXN;ALCOHOL-DEHYDROG-RXN;RXNQT-4174;PREPHENATEDEHYDROG-RXN;RXN-8001;RXN-7719;RXNQT-4165;RXNQT-4178;HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN;RXN-7572;ALANINE-DEHYDROGENASE-RXN;IMP-DEHYDROG-RXN;RXNQT-4168;RXN-7716;RXN-14986;OROTATE-REDUCTASE-NADH-RXN
3OH-4P-OH-ALPHA-KETOBUTYRATE				PSERTRANSAMPYR-RXN	PSERTRANSAMPYR-RXN	PSERTRANSAMPYR-RXN
D-GALACTOSAMINE-6-PHOSPHATE				3.5.1.80-RXN	3.5.1.80-RXN	
CPD-12025	RXN-11064	RXN-11064				
CO-A	RXN-16380;RXN-15889;RXN0-1133;KETOBUTFORMLY-RXN;SUCCCOASYN-RXN;ENTDB-RXN;HOLO-ACP-SYNTH-RXN;RXN-19477;RXN-7904;RXN-9718;RXN-16759;RXN-19493;RXN-10674;RXN-10994	PYRUFLAVREDUCT-RXN;RXN-15889;RXN-13617;ENTDB-RXN;HOLO-ACP-SYNTH-RXN;RXN-19477;RXN-7904;RXN-16759;RXN-19493;RXN-14277;RXN-10994;RXN-14394;RXN-16380;RXN-17782;COA-DISULFIDE-REDUCTASE-NADH-RXN;RXN-16393;RXN-9644;RXN-9623;RXN-20153;RXN0-1133;RXN-15714;HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN;PYFLAVOXRE-RXN;RXN-10674;RXN-17778;O-SUCCINYLBENZOATE-COA-LIG-RXN;RXN-14274	RXN-15889;RXN0-1133;ENTDB-RXN;HOLO-ACP-SYNTH-RXN;RXN-19477;RXN-16759;RXN-19493;HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN;RXN-10674;RXN-10994	RXN-20490;RXN-19536;RXN0-7165;RXN-1623;RXN-9939;PHOSACETYLTRANS-RXN;RXN-17860;CITSYN-RXN;THIOESTER-RXN;PYRUVFORMLY-RXN;DIHYDLIPACETRANS-RXN;GALACTOACETYLTRAN-RXN;RXN-9382;RXN-20498;MALONYL-COA-ACP-TRANSACYL-RXN;TETHYDPICSUCC-RXN;RXN-17861;2-ISOPROPYLMALATESYN-RXN;RXN-21228;N-ACETYLTRANSFER-RXN;RXN-17862;DEPHOSPHOCOAKIN-RXN;RXN-17864;DIAMACTRANS-RXN;2.3.1.180-RXN;RXN-18434;RXN185E-16;HOMSUCTRAN-RXN;SPERMACTRAN-RXN;RXN-20481;RXN-17859;RXN-10837;RXN-17863;RXN-0;RXN-20482	RXN-15715;RXN1G-4;RXN0-7014;2-METHYLCITRATE-SYNTHASE-RXN;RXN-20490;SERINE-O-ACETTRAN-RXN;RXN-17960;RXN-19536;ACETYL-COA-ACETYLTRANSFER-RXN;RXN0-7165;RXN-17961;RXN-1623;1.2.1.42-RXN;RXN-9939;PHOSACETYLTRANS-RXN;HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN;RXN-17860;RXN-17962;PYRUVFORMLY-RXN;DIHYDLIPACETRANS-RXN;GALACTOACETYLTRAN-RXN;RXN-9382;RXN-20498;MALONYL-COA-ACP-TRANSACYL-RXN;RXN-17861;TDPFUCACTRANS-RXN;2-ISOPROPYLMALATESYN-RXN;N-ACETYLTRANSFER-RXN;RXN-17862;DEPHOSPHOCOAKIN-RXN;MALTACETYLTRAN-RXN;DIAMACTRANS-RXN;2.3.1.180-RXN;RXN-12565;RXN-1381;RXN-17864;HOMSUCTRAN-RXN;RXN-17963;2.3.1.89-RXN;RXN185E-16;RXN-21950;SPERMACTRAN-RXN;RXN-20481;RXN-17859;RXN-10837;RXN-17863;RXN-14169;RXN-0;RXN-20482	RXN1G-4;2-METHYLCITRATE-SYNTHASE-RXN;RXN-10662;ACYL-COA-HYDROLASE-RXN;RXN-20490;SERINE-O-ACETTRAN-RXN;RXN-19536;RXN0-7165;RXN-9939;RXN-10708;PHOSACETYLTRANS-RXN;HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN;CITSYN-RXN;RXN-18840;THIOESTER-RXN;PYRUVFORMLY-RXN;DIHYDLIPACETRANS-RXN;RXN-20498;MALONYL-COA-ACP-TRANSACYL-RXN;2-ISOPROPYLMALATESYN-RXN;RXN-21228;N-ACETYLTRANSFER-RXN;DEPHOSPHOCOAKIN-RXN;RXN-1381;DIAMACTRANS-RXN;2.3.1.180-RXN;RXN185E-16;HOMSUCTRAN-RXN;2.3.1.89-RXN;SPERMACTRAN-RXN;RXN-20481;RXN-0;RXN-20482
Proteins-with-N-Terminal-L-Glutamate	RXN-19146	3.4.11.7-RXN	3.4.11.7-RXN			
THZ	THIAZOLSYN3-RXN	THIAZOLSYN3-RXN		THIAMINASE-RXN	THIAMINASE-RXN	
FRUCTOSE-6P	L-GLN-FRUCT-6-P-AMINOTRANS-RXN;FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN	L-GLN-FRUCT-6-P-AMINOTRANS-RXN;6PFRUCTPHOS-RXN	L-GLN-FRUCT-6-P-AMINOTRANS-RXN;6PFRUCTPHOS-RXN	RXN0-304;RXN-14812;PGLUCISOM-RXN;GLUCOSAMINE-6-P-DEAMIN-RXN;TRANSALDOL-RXN;R12-RXN;2TRANSKETO-RXN;RXN-15605	MANNPISOM-RXN;PGLUCISOM-RXN;RXN-14812;F16BDEPHOS-RXN;GLUCOSAMINE-6-P-DEAMIN-RXN;FRUCTOKINASE-RXN;2TRANSKETO-RXN;MANNPDEHYDROG-RXN	MANNPISOM-RXN;PGLUCISOM-RXN;RXN-14812;F16BDEPHOS-RXN;GLUCOSAMINE-6-P-DEAMIN-RXN;FRUCTOKINASE-RXN;2TRANSKETO-RXN
Charged-TRP-tRNAs				TRYPTOPHAN--TRNA-LIGASE-RXN	TRYPTOPHAN--TRNA-LIGASE-RXN	TRYPTOPHAN--TRNA-LIGASE-RXN
RNASE-G-DEGRADATION-SUBSTRATE-MRNA	RXN0-6523					
L-methionyl-tRNAfmet	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	RXN-16165	RXN-16165	RXN-16165
CPD0-1442				RXN0-4121		RXN0-4121
tRNA-Dihydrouridines				RXN0-1281	RXN0-1281	RXN0-1281
CPD-17932				RXN-16659	RXN-16659	RXN-16659
Charged-SER-tRNAs				SERINE--TRNA-LIGASE-RXN	SERINE--TRNA-LIGASE-RXN	SERINE--TRNA-LIGASE-RXN
D-XYLULOSE	XYLULOKIN-RXN	XYLULOKIN-RXN		D-XYLULOSE-REDUCTASE-RXN		
5-Phospho-terminated-DNAs	DNA-LIGASE-NAD+-RXN	DNA-LIGASE-NAD+-RXN	DNA-LIGASE-NAD+-RXN	4.2.99.18-RXN	3.2.2.23-RXN;RXN-18435;4.2.99.18-RXN;RXN-21266	3.2.2.23-RXN;RXN-18435;4.2.99.18-RXN;RXN-21266
D-METHYL-MALONYL-COA				PROPIONYL-COA-CARBOXY-RXN		
3-CARBOXY-3-HYDROXY-ISOCAPROATE				2-ISOPROPYLMALATESYN-RXN;RXN-13163	2-ISOPROPYLMALATESYN-RXN;RXN-13163	2-ISOPROPYLMALATESYN-RXN;RXN-13163
Dipeptidyl-Peptidase-IV-Substrates	3.4.14.5-RXN					
CPD-15895	RXN-11322					
SPERMINE	RXN-9939	RXN-9939	RXN-9939			
GLYCOL	GLYCOLALDREDUCT-RXN					
D-Ribofuranose	RIBOKIN-RXN	RIBOKIN-RXN		RXN-14882	RXN-14882	RXN-14882
CPD-24794	2.4.1.129-RXN			2.4.1.129-RXN		
IMP	ADENYLOSUCCINATE-SYNTHASE-RXN;RXN-7607;IMP-DEHYDROG-RXN	ADENYLOSUCCINATE-SYNTHASE-RXN;IMP-DEHYDROG-RXN	ADENYLOSUCCINATE-SYNTHASE-RXN;RXN-7607;IMP-DEHYDROG-RXN	HYPOXANPRIBOSYLTRAN-RXN	HYPOXANPRIBOSYLTRAN-RXN;GMP-REDUCT-RXN	HYPOXANPRIBOSYLTRAN-RXN
BryU-ACP	RXN-20481	RXN-20481	RXN-20481			
S-ACETYLDIHYDROLIPOAMIDE				DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN
FORMYL-THF-GLU-N	FORMYLTHFGLUSYNTH-RXN;METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	FORMYLTHFGLUSYNTH-RXN;GART-RXN;METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	FORMYLTHFGLUSYNTH-RXN;GART-RXN;METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	FORMYLTHFGLUSYNTH-RXN;FORMATETHFLIG-RXN	FORMYLTHFGLUSYNTH-RXN;FORMATETHFLIG-RXN	FORMYLTHFGLUSYNTH-RXN;FORMATETHFLIG-RXN
L-ALLO-THREONINE	LTAA-RXN	RXN-16001				
PHE	PHENYLALANINE--TRNA-LIGASE-RXN;RXN-10814	PHENYLALANINE--TRNA-LIGASE-RXN;RXN-10814	PHENYLALANINE--TRNA-LIGASE-RXN;RXN-10814			
GLYCERATE	GLYCERATE-DEHYDROGENASE-RXN;GLY3KIN-RXN	GLYCERATE-DEHYDROGENASE-RXN;RXN0-5289;GKI-RXN	GLYCERATE-DEHYDROGENASE-RXN;GLY3KIN-RXN;GKI-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN	RXN-14900	RXN-14900;TSA-REDUCT-RXN	RXN0-300
N1-ACETYLSPERMINE				RXN-9939	RXN-9939	RXN-9939
CPD-7246				2.7.1.157-RXN		
Plastoquinols				RXN-12303;RXN1YI0-16;RXN1YI0-14	RXN-12303;RXN1YI0-16;RXN1YI0-14	
VibB	RXN-10994	RXN-10994	RXN-10994			
CPD-15430	RXN-14560					
CPD-9116	RXN-19765	RXN-19765	RXN-19765			
CPD0-2167				RXN0-6550	RXN0-6550	RXN0-6550
CPD-24145				3.2.1.89-RXN		
UREA			UREASE-RXN	UREIDOGLYCOLATE-LYASE-RXN		RXN-12515
Long-chain-alcohols	LONG-CHAIN-ALCOHOL-DEHYDROGENASE-RXN					
UMP	RXN-12002;RXN-14025	RXN-12002	RXN-12002;RXN-14025	RXN-8975;RXN-16381;RXN-11028;OROTPDECARB-RXN;PHOSNACMURPENTATRANS-RXN;URACIL-PRIBOSYLTRANS-RXN;RXN-22610;RXN-6380;RXN-11347	RXN-8975;RXN-11028;URKI-RXN;OROTPDECARB-RXN;PHOSNACMURPENTATRANS-RXN;GLCNACPTRANS-RXN;URACIL-PRIBOSYLTRANS-RXN;RXN-22610;URIDINEKIN-RXN;RXN-11347	RXN-8975;RXN-11028;URKI-RXN;PHOSNACMURPENTATRANS-RXN;GLCNACPTRANS-RXN;URACIL-PRIBOSYLTRANS-RXN;RXN-22610;URIDINEKIN-RXN;RXN-11347
tRNAs-with-glutamylated-queuosine				RXN0-5422		
CPD-11746				RXN-10837	RXN-10837	
CPD-9649	RXN-9359	RXN-9359				
N-formyl-L-methionyl-tRNAfmet				METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
TREHALOSE				5.4.99.16-RXN		
tRNA-Sec	RXN0-2161	RXN0-2161	RXN0-2161			
INDOLE-3-GLYCEROL-P	TRYPSYN-RXN	TRYPSYN-RXN	TRYPSYN-RXN		IGPSYN-RXN	IGPSYN-RXN
PUTRESCINE	RXN-0	PUTRESCINE-CARBAMOYLTRANSFERASE-RXN;ABC-25-RXN;RXN-0	ABC-25-RXN;RXN-0		ABC-25-RXN	ABC-25-RXN
23S-rRNA-N3-methylpseudouridine1915				RXN-11592	RXN-11592	RXN-11592
16S-rRNA-cytidine1409	RXN-12462					
PYRIDOXAMINE-5P				PYRAMKIN-RXN	PYRAMKIN-RXN	PYRAMKIN-RXN
CPD-24844				RXN-22605;RXN-22603	RXN-22605;RXN-22603	RXN-22605;RXN-22603
DEAMIDO-NAD	NAD-SYNTH-GLN-RXN	NAD-SYNTH-NH3-RXN;NAD-SYNTH-GLN-RXN	NAD-SYNTH-NH3-RXN;NAD-SYNTH-GLN-RXN	NICONUCADENYLYLTRAN-RXN	NICONUCADENYLYLTRAN-RXN	NICONUCADENYLYLTRAN-RXN
CPD-19186	RXN-17824	RXN-17824	RXN-17824			
ACETYL-GLU	ACETYLGLUTKIN-RXN	ACETYLGLUTKIN-RXN	ACETYLGLUTKIN-RXN	N-ACETYLTRANSFER-RXN;GLUTAMATE-N-ACETYLTRANSFERASE-RXN	N-ACETYLTRANSFER-RXN;GLUTAMATE-N-ACETYLTRANSFERASE-RXN	N-ACETYLTRANSFER-RXN;GLUTAMATE-N-ACETYLTRANSFERASE-RXN
D-tyrosyl-tRNA-Tyr	RXN-19727	RXN-19727	RXN-19727			
CPD-15970				RXN-15150		
CPD-369	L-IDITOL-2-DEHYDROGENASE-RXN	L-IDITOL-2-DEHYDROGENASE-RXN				
CPD-12115		ADOMET-DMK-METHYLTRANSFER-RXN		DMK-RXN	DMK-RXN	
CPD-12122				RXN-9365	RXN-9365	
Soluble-Heteroglycans	RXN-14354	RXN-14354	RXN-14354	RXN-14354	RXN-14354	RXN-14354
Amino-Acids-20				3.4.11.1-RXN;3.4.11.9-RXN	3.4.11.4-RXN;RXN0-5052;3.4.13.9-RXN	3.4.11.4-RXN;RXN0-5052;3.4.13.9-RXN
CPD0-2474		RXN-13141	RXN-13141	RXN-20457	RXN-20457	RXN-20457
Protein-N-terminal-5-oxo-prolines	PYROGLUTAMYL-PEPTIDASE-I-RXN			RXN-19145;RXN-19146		
HOMO-CYS	RXN66-562;HOMOCYSMET-RXN;CYSTATHIONINE-BETA-SYNTHASE-RXN	HOMOCYSMET-RXN	MMUM-RXN;HOMOCYSMET-RXN;HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN	RXN-9384;RIBOSYLHOMOCYSTEINASE-RXN;CYSTATHIONINE-BETA-LYASE-RXN	CYSTATHIONINE-BETA-LYASE-RXN;RXN-9384;RIBOSYLHOMOCYSTEINASE-RXN;ACETYLHOMOSER-CYS-RXN	RXN-9384;RIBOSYLHOMOCYSTEINASE-RXN;CYSTATHIONINE-BETA-LYASE-RXN;ACETYLHOMOSER-CYS-RXN;ADENOSYLHOMOCYSTEINASE-RXN
CPD-24470	RXN-22452					
MESO-DIAMINOPIMELATE	DIAMINOPIMDECARB-RXN	DIAMINOPIMDECARB-RXN	DIAMINOPIMDECARB-RXN	DIAMINOPIMEPIM-RXN		
N-Substituted-Aminoacyl-tRNA	AMINOCYL-TRNA-HYDROLASE-RXN	AMINOCYL-TRNA-HYDROLASE-RXN	AMINOCYL-TRNA-HYDROLASE-RXN			
PHOSPHO-ENOL-PYRUVATE	RXN-14192;RXN-14207;PEPDEPHOS-RXN;DAHPSYN-RXN;RXN-14117;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN;2.7.3.9-RXN;2.5.1.19-RXN;PEPCARBOX-RXN	RXN-14192;RXN-14207;PEPDEPHOS-RXN;DAHPSYN-RXN;RXN-14117;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN;2.7.3.9-RXN;2.5.1.19-RXN;2.7.1.121-RXN	RXN-14192;RXN-14207;PEPDEPHOS-RXN;DAHPSYN-RXN;RXN-14117;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN;2.7.3.9-RXN;2.5.1.19-RXN;PEPCARBOX-RXN	2PGADEHYDRAT-RXN	2PGADEHYDRAT-RXN	2PGADEHYDRAT-RXN
ssDNA-Apurinic-Apyrimidinic-Site	3.1.21.2-RXN					
2-O-ALPHA-MANNOSYL-D-GLYCERATE	RXN-14900	RXN-14900				
CPD-7268	3.5.1.91-RXN					
PLASTOQUINONE	RXN-12303;RXN1YI0-16;RXN1YI0-14	RXN-12303;RXN1YI0-16;RXN1YI0-14				
CPD-8891				RXN-8641		
Supercoiled-Duplex-DNAs	RXN0-4261;RXN-11135	RXN0-4261;RXN-11135	RXN0-4261;RXN-11135			
CPD-18085				RXN-16765	RXN-16765	RXN-16765
CPD-8625				PEPTIDYLPROLYL-ISOMERASE-RXN	PEPTIDYLPROLYL-ISOMERASE-RXN	PEPTIDYLPROLYL-ISOMERASE-RXN
CPD-12601		RXN-15165	RXN-15165	RXN-14501		
AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP		RXN-12610;THI-P-SYN-RXN;RXN-12611		PYRIMSYN3-RXN	PYRIMSYN3-RXN	
S-CD-S-SP-Complex				RXN-14385	RXN-14385	RXN-14385
CPD-13376	RXN-12398	RXN-12398	RXN-12398			
L-aspartyl-tRNAAsn	6.3.5.6-RXN	6.3.5.6-RXN	6.3.5.6-RXN	RXN490-3616		
ARSENATE	RXN-22326	RXN-11187;RXN-982;RXN-22326	RXN-22326	RXN-22326	RXN-22326	RXN-22326
L-methionyl-L-seryl-Protein	RXN-17876	RXN-17876	RXN-17876			
CPD-15382	RXN-14515;RXN-20900;RXN-15150	RXN-14515;RXN-20900		RXN-7644	RXN-7644	
16S-rRNA-N6-dimethyladenine1518-1519				RXN-11633	RXN-11633	RXN-11633
BUTYRYL-COA		RXN-12565		RXN-11726		
Holo-AsbD-Proteins				RXN-10674	RXN-10674	RXN-10674
3-oxo-stearoyl-ACPs	RXN-9633	RXN-9633		RXN-9632		
Chitodextrins	RXN-12309	RXN-12309		3.2.1.14-RXN	3.2.1.14-RXN	
CPD-209	6.3.2.10-RXN	6.3.2.10-RXN	6.3.2.10-RXN	6.3.2.7-RXN	6.3.2.7-RXN	6.3.2.7-RXN
CYS	RXN-14385;RXN-21560;O-SUCCHOMOSERLYASE-RXN;RXN-15881;CYSPH-RXN;RXN-22606;RXN-22700;CYSTEINE--TRNA-LIGASE-RXN;GLUTCYSLIG-RXN;RXN-9787;RXN66-562;RXN66-534;RXN-19038;RXN-20037;RXN-22698;RXN-12588;RXN-21566	RXN-14385;RXN-21560;O-SUCCHOMOSERLYASE-RXN;RXN-15881;CYSPH-RXN;RXN-22606;RXN-22700;CYSTEINE--TRNA-LIGASE-RXN;RXN-9787;RXN-20037;RXN-22698;RXN-12588;RXN-21566	RXN-14385;RXN-21560;O-SUCCHOMOSERLYASE-RXN;RXN-15881;CYSPH-RXN;RXN-22606;RXN-22700;CYSTEINE--TRNA-LIGASE-RXN;RXN-9787;RXN-20037;RXN-22698;RXN-12588;RXN-21566	RXN-21077;RXN-16637	RXN-16637;RXN-21077;ACSERLY-RXN	RXN-16637;RXN-21077;ACSERLY-RXN
CPD-1301				HOMOCYSMET-RXN;RXN-12730	HOMOCYSMET-RXN;RXN-12730	HOMOCYSMET-RXN;RXN-12730
Ala-tRNA-Pro	RXN-21072	RXN-21072	RXN-21072			
2-OXOBUTANOATE	ACETOOHBUTSYN-RXN;KETOBUTFORMLY-RXN	ACETOOHBUTSYN-RXN	ACETOOHBUTSYN-RXN	THREDEHYD-RXN;RXN-11064;RXN-15123;METHIONINE-GAMMA-LYASE-RXN	THREDEHYD-RXN;RXN-11064;RXN-15123;METHIONINE-GAMMA-LYASE-RXN	THREDEHYD-RXN;RXN-15123
L-BETA-ASPARTYL-P				ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN
Glycerol-1-phosphate	GLYCEROL-1-PHOSPHATASE-RXN					
